Recency,Frequency,Monetary
326,34,77556.46
2,222,4921.53
75,51,2019.3999999999999
19,175,4428.69
310,17,334.4
375,21,300.93
36,103,2849.84
204,24,406.76
232,58,1079.4
214,35,947.61
23,142,6371.73
33,296,18287.66
2,77,3887.07
58,362,8873.39
52,217,4252.89
287,29,511.25
3,267,5356.2300000000005
110,23,552.0
8,85,1313.1
291,22,641.38
634,3,500.24
4,11,168.9
628,18,917.7
413,93,1791.15
51,201,4316.56
45,167,4067.38
72,52,1298.04
311,51,1127.65
25,83,2989.2200000000003
11,17,457.5
390,13,503.15
315,152,3426.32
130,301,5416.32
82,81,1620.22
22,277,9676.3
5,87,1845.31
185,99,1850.56
29,27,585.27
379,65,1938.4
338,10,401.9
415,9,143.94
16,146,3901.11
403,49,1433.33
80,32,549.84
22,267,2724.84
591,7,234.75000000000003
72,107,2399.45
64,27,1272.48
19,242,4721.17
674,65,931.43
36,126,2409.9
46,85,1635.6599999999999
119,110,1962.3
414,11,205.25
303,5,84.3
323,70,1256.9
50,9,1019.36
682,1,63.24
149,54,1710.39
22,166,6390.36
50,77,1708.12
33,159,4340.77
79,264,23419.29
309,40,1013.71
410,22,346.9
75,127,2596.93
67,51,999.45
217,28,952.41
24,926,144458.37
657,11,202.56
3,369,6797.41
113,102,2021.2
386,25,503.01
64,29,600.39
16,65,1098.6
96,172,5231.8
1,165,2622.39
163,92,3340.0299999999997
78,91,1741.41
195,77,1345.21
22,31,825.8
26,294,7956.46
9,153,6204.41
43,11,256.4
36,390,10432.22
43,108,5059.32
1,559,16794.14
85,70,1103.43
80,112,13925.93
100,16,509.01
2,563,12683.4
14,98,2906.85
683,71,1142.88
462,32,859.2
367,11,173.55
3,12,172.06
732,21,485.31
21,176,5005.46
22,24,434.98
58,57,1002.3100000000001
243,26,476.49
44,22,449.45
22,201,4835.89
156,37,688.2
11,511,12669.88
17,22,430.57
134,43,707.09
56,40,16679.78
73,227,5879.95
44,125,3181.04
66,84,2995.91
71,84,1777.49
605,23,454.36
456,18,326.65
94,35,826.88
19,62,1189.59
53,83,1344.78
10,29,1212.05
17,47,742.1899999999999
682,1,56.73
